,,Actual,,,,,Predicted,Error,Absolute Error,Squared Error,Squared Total
,X,y,X-X',y-y',(X-X')(y-y'),(X-X')^2,y_p,y-y_p,|y-y_p|,(y-y_p)^2,(y-y')^2
,1.1,39343,-4.213333333,-36660,154460.8,17.75217778,36187.15875,3155.841248,3155.841248,9959333.981,1343955600
,1.3,46205,-4.013333333,-29798,119589.3067,16.10684444,38077.15122,8127.848783,8127.848783,66061925.85,887920804
,1.5,37731,-3.813333333,-38272,145943.8933,14.54151111,39967.14368,-2236.143681,2236.143681,5000338.561,1464745984
,2,43525,-3.313333333,-32478,107610.44,10.97817778,44692.12484,-1167.124842,1167.124842,1362180.396,1054820484
,2.2,39891,-3.113333333,-36112,112428.6933,9.692844444,46582.11731,-6691.117306,6691.117306,44771050.8,1304076544
X=YearsExp,2.9,56642,-2.413333333,-19361,46724.54667,5.824177778,53197.09093,3444.909069,3444.909069,11867398.49,374848321
y=Salary,3,60150,-2.313333333,-15853,36673.27333,5.351511111,54142.08716,6007.912837,6007.912837,36095016.66,251317609
,3.2,54445,-2.113333333,-21558,45559.24,4.466177778,56032.07963,-1587.079627,1587.079627,2518821.743,464747364
,3.2,64445,-2.113333333,-11558,24425.90667,4.466177778,56032.07963,8412.920373,8412.920373,70777229.2,133587364
,3.7,57189,-1.613333333,-18814,30353.25333,2.602844444,60757.06079,-3568.060788,3568.060788,12731057.79,353966596
,3.9,63218,-1.413333333,-12785,18069.46667,1.997511111,62647.05325,570.9467477,570.9467477,325980.1887,163456225
,4,55794,-1.313333333,-20209,26541.15333,1.724844444,63592.04948,-7798.049484,7798.049484,60809575.76,408403681
,4,56957,-1.313333333,-19046,25013.74667,1.724844444,63592.04948,-6635.049484,6635.049484,44023881.66,362750116
,4.1,57081,-1.213333333,-18922,22958.69333,1.472177778,64537.04572,-7456.045717,7456.045717,55592617.73,358042084
,4.5,61111,-0.813333333,-14892,12112.16,0.661511111,68317.03065,-7206.030645,7206.030645,51926877.66,221771664
,4.9,67938,-0.413333333,-8065,3333.533333,0.170844444,72097.01557,-4159.015574,4159.015574,17297410.54,65044225
,5.1,66029,-0.213333333,-9974,2127.786667,0.045511111,73987.00804,-7958.008038,7958.008038,63329891.93,99480676
,5.3,83088,-0.013333333,7085,-94.46666667,0.000177778,75877.0005,7210.999498,7210.999498,51998513.75,50197225
,5.9,81363,0.586666667,5360,3144.533333,0.344177778,81546.9779,-183.9778953,183.9778953,33847.86594,28729600
,6,93940,0.686666667,17937,12316.74,0.471511111,82491.97413,11448.02587,11448.02587,131057296.4,321735969
,6.8,91738,1.486666667,15735,23392.7,2.210177778,90051.94398,1686.056015,1686.056015,2842784.887,247590225
,7.1,98273,1.786666667,22270,39789.06667,3.192177778,92886.93268,5386.067319,5386.067319,29009721.16,495952900
,7.9,101302,2.586666667,25299,65440.08,6.690844444,100446.9025,855.0974618,855.0974618,731191.6692,640039401
,8.2,113812,2.886666667,37809,109141.98,8.332844444,103281.8912,10530.10877,10530.10877,110883190.6,1429520481
,8.7,109431,3.386666667,33428,113209.4933,11.46951111,108006.8724,1424.127605,1424.127605,2028139.434,1117431184
,9,105582,3.686666667,29579,109047.9133,13.59151111,110841.8611,-5259.861092,5259.861092,27666138.7,874917241
,9.5,116969,4.186666667,40966,171510.9867,17.52817778,115566.8423,1402.157748,1402.157748,1966046.349,1678213156
,9.6,112635,4.286666667,36632,157029.1733,18.37551111,116511.8385,-3876.838485,3876.838485,15029876.64,1341903424
,10.3,122391,4.986666667,46388,231321.4933,24.86684444,123126.8121,-735.8121097,735.8121097,541419.4607,2151846544
,10.5,121872,5.186666667,45869,237907.2133,26.90151111,125016.8046,-3144.804574,3144.804574,9889795.808,2103965161
Average ,5.313333333,76003,,,,,,,4644.201289,31270951.72,
Sum,X',y',,,2207082.8,233.5546667,,,,938128551.7,21794977852
,,,,,,,,,,,
,,,,,,,,MAE,4644.201289,,
y=mx+c,slope(m)=,9449.962321,,,,,,MSE,31270951.72,,Explained Variance
y'=mx'+c,intercept(c)=,25792.2002,,,,,,RMSE,5592.043609,,R2=Exp var/Total Var
c=y'-mx',,,,,,,,R2,0.956956664,,
,,,,,,,,,,,
,,,,,,,,,,,
,R2_Score,1-(SSEwrtP/SSEwrtM),,,,,,,,,
